uneatable	eatable
inapplicable	applicable
emetic	antiemetic
nonsynonymous	synonymous
infernal	supernal
uncountable	countable
contradicted	uncontradicted
prerevolutionary	postrevolutionary
slightly	very
unhelpfully	helpfully
combustible	incombustible
different	alike
uncharacteristic	characteristic
unamusing	amusing
impatiently	patiently
late	early
new	accustomed
forgettable	unforgettable
monomorphic	polymorphic
refutable	irrefutable
halfheartedly	enthusiastically
unavailable	available
alienable	inalienable
abrasive	soft
unbiblical	biblical
everywhere	nowhere
incompletely	completely
unceremoniously	formal
inexplicable	explainable
unprintable	printable
explicable	insoluble
bad	good
autologous	heterologous
familiarly	unfamiliarly
fewer	more
staged	real
inconvertible	convertible
sadly	gladly
unquantified	quantified
symptomatic	asymptomatic
unfishable	fishable
unrideable	rideable
interminable	terminable
moveable	stationary
vertically	horizontally
unarmored	armored
evitable	necessary
go	keep
deflated	inflated
unenergetic	energetic
unpropitious	propitious
unedited	edited
exclusionary	inclusionary
contentious	uncontentious
false	real
thinkable	unthinkable
disincentivize	incentivize
damaging	beneficial
comparable	incomparable
ineligible	eligible
common	exceptional
lost	find
miscible	immiscible
carbonated	flat
distracted	focused
containable	uncontainable
least	greatest
iniquitous	righteous
unaccountably	responsibly
inaudible	audible
decoupling	coupling
shakable	unshakable
inoperational	operational
inviable	viable
insensitive	sensitive
plausibly	implausibly
unfairly	fairly
incompressible	compressible
unpunctuated	punctuated
irrelevantly	relevantly
apathetically	pressingly
believable	unbelievable
simulated	actual
inimical	friendly
inconsiderately	considerately
unaccountable	accountable
nonfactual	factual
overrated	underrated
stoppable	unstoppable
ischemic	nonischemic
unascertainable	ascertainable
hot	chilled
glazed	unglazed
inexcusably	forgivably
alone	together
unprotected	protected
powerlessly	strong
uninsurable	insurable
inadequately	adequately
exothermic	endothermic
imaginable	unimaginable
nonmagnetic	magnetic
behind	ahead
despicable	honorable
away	available
negligibly	importantly
prerecorded	live
disrespectable	respectable
much	less
unhoused	housed
nonevangelical	evangelical
unsteady	steady
defeatable	impregnable
polyandrous	polygynous
cooled	warmed
condemned	blessed
ambiguous	unambiguous
different	identical
lacking	enough
undeserving	deserving
nonintuitive	intuitive
objectionable	unobjectionable
inartistic	artistic
unidirectional	omnidirectional
impervious	pervious
literally	figuratively
everlasting	limited
stopping	running
familiar	unacquainted
encumbered	unencumbered
hackable	unhackable
insufferable	sufferable
remove	settle
illegible	legible
uncontrollably	controllably
leave	come
undercapitalized	overcapitalized
unlikely	expected
diluted	concentrated
untraditionally	traditionally
badly	well
down	upright
categorically	conditionally
sullied	unsullied
unthinking	considered
immaturely	maturely
autumnal	vernal
insincerely	sincerely
decorated	undecorated
controversial	noncontroversial
tersely	verbosely
reduce	larger
after	before
unpowered	powered
permeable	impermeable
unheated	heated
exogenous	autogenous
liberal	conservative
overloading	overriding
vincible	unconquerable
authoritarian	modest
inegalitarian	egalitarian
disliking	like
capricious	conscientious
unrighteous	just
impossible	certain
accidentally	advisedly
lateral	vertical
tamed	untamed
existential	metaphysical
indeterminable	determinable
malevolently	benevolently
once	again
apparently	invisibly
those	these
negative	affirmative
waning	waxing
decreasing	increasing
unrealistically	realistically
censored	uncensored
stationary	moving
unpredictable	predictable
previous	following
unequal	same
feigned	real
urban	rural
homologous	heterologous
elective	appointive
impious	pious
written	oral
green	experienced
impoverished	luxurious
deductible	nondeductible
going	come
uncritical	critical
probable	improbable
unsociable	sociable
ineradicable	eradicable
divided	combined
resolvable	insurmountable
salubrious	insalubrious
insensible	sensible
poor	average
onto	under
homozygous	heterozygous
unsharpened	sharpened
divorced	married
unflagged	flocked
along	across
inoperable	operable
arbitrary	reasonable
uneducated	educated
having	without
unlike	similar
dangerously	safely
invalidly	validly
tributary	distributary
unexpectedly	expectedly
earthly	supernal
indefinably	definably
unhabitable	habitable
unarticulated	articulated
stigmatize	destigmatize
girly	manly
unflattering	flattering
inaccurately	accurately
outside	inside
pessimistic	optimistic
beginning	close
imitative	creative
underpowered	overpowered
nonwhite	white
disputable	unanswerable
epizootic	enzootic
into	out
initial	final
humorously	seriously
invariably	variably
unpremeditated	premeditated
no	quite
underprepared	overprepared
hypothetical	actual
twice	once
atypical	typical
plebeian	aristocratic
grammatical	felicitous
unseasonal	seasonal
changeable	unalterable
misunderstanding	understanding
majorly	minorly
separated	adjoining
immorally	morally
processed	natural
uncomfortable	ergonomic
following	leading
interestedly	disinterestedly
illogically	logically
industrial	nonindustrial
unskippable	skippable
abiotic	biotic
lower	higher
unlikable	likable
beatable	unbeatable
salted	unsalted
one	another
one	double
unleavened	leavened
partial	complete
fallible	infallible
corruptible	incorruptible
illegal	lawful
communicable	incommunicable
involuntarily	voluntarily
unsellable	salable
synchronous	asynchronous
irreparable	reparable
otherworldly	worldly
impolitic	politic
conspicuous	inconspicuous
unauthentic	authentic
under	upper
unsightly	sightly
onerous	gratuitous
unenthusiastic	enthusiastic
disinclined	inclined
second	first
undermanned	overmanned
traumatic	nontraumatic
unappetizingly	appetizingly
inconsequentially	consequentially
unsupported	supported
systemic	endemic
curable	incurable
domesticated	undomesticated
undirected	directed
nonproductive	productive
audacious	cautious
sharp	flat
nonaddictive	addicting
unconfirmed	confirmed
exactly	approximately
monochromatic	lively
new	established
indirectly	directly
supernatural	natural
southerly	northerly
incidentally	certainly
posteriorly	anteriorly
divisible	combinable
unknown	known
unrecycled	recycled
explicitly	implicitly
uncontrollable	controllable
separable	inseparable
hyphenated	unhyphenated
unspecified	specified
late	timely
wrinkled	flat
writing	talking
irreproducible	reproducible
insensitively	sensitively
altered	unaltered
imperfectly	perfectly
inswing	outswing
derivative	original
nonstandard	normal
slowly	run
untidily	tidily
cacophonous	euphonious
incommensurable	commensurable
invalid	valid
practically	impractically
flirtatious	reserved
less	plus
melted	unmelted
mercifully	mercilessly
scribbling	writing
unsupervised	supervised
movable	immovable
linearly	nonlinearly
unembellished	adorned
stinting	unstinting
infeasible	feasible
homosexual	heterosexual
deteriorating	improving
actual	estimated
uncontactable	contactable
interrupted	continuous
unfilmable	filmable
ahistorical	historical
unlockable	lockable
imaginary	real
figurative	literal
unimaginatively	imaginatively
ridiculous	serious
disgruntled	gruntled
nondurable	durable
nonspeaking	speaking
inexpressible	expressible
smelly	aromatic
unformatted	rich
categorized	uncategorized
unrentable	rentable
formally	informally
extraterrestrial	earthling
bothered	unbothered
smearing	edging
synthetic	analytic
inhumanly	humanly
discouraged	encouraged
inadmissible	admissible
falsifiable	verifiable
unenviable	enviable
anxious	easy
indigestible	digestible
imprudently	prudently
ferrous	nonferrous
other	same
current	back
ungovernable	governable
injudicious	judicious
unintended	intended
controversial	incontrovertible
blacklisted	whitelisted
take	add
scored	unscored
imperceptible	perceptible
nonnutritive	nutritive
external	internal
epidemic	endemic
inflexibly	flexibly
unwitting	witting
0	1
untranslatable	translatable
underqualified	overqualified
antisocial	social
